month_start,calendar_year,density_280_q05_kg_m3,density_280_q50_kg_m3,density_280_q95_kg_m3,f107_fft_forecast_sfu
2026-07-01,2026.496920,1.7989590964229085e-11,2.8882818564169987e-11,4.403903078933854e-11,nan
2026-08-01,2026.581793,1.7702456346052253e-11,2.8421815470948792e-11,4.3336117070192934e-11,nan
2026-09-01,2026.666667,1.743506747401494e-11,2.7992514755191092e-11,4.268154149969817e-11,nan
2026-10-01,2026.748802,1.7282561343305822e-11,2.7747661666982826e-11,4.230820215033684e-11,nan
2026-11-01,2026.833676,1.7210208160041785e-11,2.76314964985301e-11,4.213107949803155e-11,nan
2026-12-01,2026.915811,1.711420014856906e-11,2.7477352806125568e-11,4.189604915289042e-11,nan
2027-01-01,2027.000684,1.6896413133641198e-11,2.7127689334048775e-11,4.1362900340613505e-11,nan
2027-02-01,2027.085558,1.6579574678585027e-11,2.6618995855151133e-11,4.058727078320944e-11,nan
2027-03-01,2027.162218,1.630244188871862e-11,2.6174050992101725e-11,3.9908841824489365e-11,nan
2027-04-01,2027.247091,1.6093366979377813e-11,2.5838375062347783e-11,3.9397020494696696e-11,nan
2027-05-01,2027.329227,1.598053961773321e-11,2.565722740746586e-11,3.912081590153909e-11,nan
2027-06-01,2027.414100,1.585765519931172e-11,2.54599328514813e-11,3.8819991347097874e-11,nan
2027-07-01,2027.496235,1.5641907994746256e-11,2.5113544355067913e-11,3.8291836048655304e-11,nan
2027-08-01,2027.581109,1.5321342357508244e-11,2.4598866775312846e-11,3.7507082243168557e-11,nan
2027-09-01,2027.665982,1.4998349026336697e-11,2.4080291461387448e-11,3.6716385373823467e-11,nan
2027-10-01,2027.748118,1.4772325156685875e-11,2.3717403476258876e-11,3.616307250670656e-11,nan
2027-11-01,2027.832991,1.462979495971552e-11,2.348856704372431e-11,3.5814154527122193e-11,nan
2027-12-01,2027.915127,1.4496911449721747e-11,2.327521865148171e-11,3.548885191186832e-11,nan
2028-01-01,2028.000000,1.4274231087790322e-11,2.2917698766551708e-11,3.494372404682799e-11,nan
2028-02-01,2028.084873,1.3959559903939153e-11,2.2412484905457376e-11,3.417340003102938e-11,nan
2028-03-01,2028.164271,1.3657009732931358e-11,2.1926731687768735e-11,3.34327485997197e-11,nan
2028-04-01,2028.249144,1.341036030025571e-11,2.1530728753233337e-11,3.282894376717101e-11,nan
2028-05-01,2028.331280,1.3257837034976981e-11,2.1285848154968493e-11,3.245556247189551e-11,nan
2028-06-01,2028.416153,1.3116762246268982e-11,2.1059348423299556e-11,3.2110207373168435e-11,nan
2028-07-01,2028.498289,1.2913484088793545e-11,2.0732979349533714e-11,3.1612576656958076e-11,nan
2028-08-01,2028.583162,1.2618530144218349e-11,2.025942209729317e-11,3.089052100419685e-11,nan
2028-09-01,2028.668036,1.2306943808203416e-11,1.975916105033059e-11,3.012774878371758e-11,nan
2028-10-01,2028.750171,1.2069338404945709e-11,1.9377678571612492e-11,2.9546083992640004e-11,nan
2028-11-01,2028.835044,1.19073251466866e-11,1.9117561509885382e-11,2.914947092439731e-11,nan
2028-12-01,2028.917180,1.1773049063067173e-11,1.890197729963853e-11,2.88207592492655e-11,nan
2029-01-01,2029.002053,1.1577967905359433e-11,1.8588768750619008e-11,2.8343195021830096e-11,nan
2029-02-01,2029.086927,1.130508252121111e-11,1.8150643222648864e-11,2.7675163833218612e-11,nan
2029-03-01,2029.163587,1.1039937291349829e-11,1.7724944740539617e-11,2.7026080762640435e-11,nan
2029-04-01,2029.248460,1.0798364565718043e-11,1.7337092608806953e-11,2.6434703853453517e-11,nan
2029-05-01,2029.330595,1.0640392140939978e-11,1.7083463224343496e-11,2.6047982860602653e-11,nan
2029-06-01,2029.415469,1.0509284962417038e-11,1.6872966784637446e-11,2.572702875535613e-11,nan
2029-07-01,2029.497604,1.0343259605110903e-11,1.660640817962749e-11,2.5320593954434064e-11,nan
2029-08-01,2029.582478,1.0102149461402555e-11,1.621929873680823e-11,2.4730349458964028e-11,nan
2029-09-01,2029.667351,9.83373200350777e-12,1.5788346596137196e-11,2.407325588100946e-11,nan
2029-10-01,2029.749487,9.615138848523676e-12,1.5437388842437896e-11,2.3538133614926538e-11,nan
2029-11-01,2029.834360,9.460491974641722e-12,1.518909872796391e-11,2.315955366533766e-11,nan
2029-12-01,2029.916496,9.344611983387183e-12,1.500304998626225e-11,2.2875876147995863e-11,nan
2030-01-01,2030.001369,9.194208752738625e-12,1.4761573166087452e-11,2.250768475784595e-11,nan
2030-02-01,2030.086242,8.981849663437144e-12,1.4420624388600342e-11,2.198782366201894e-11,nan
2030-03-01,2030.162902,8.764844898956753e-12,1.4072216842675012e-11,2.1456589821105725e-11,nan
2030-04-01,2030.247775,8.55591475550533e-12,1.3736773338823665e-11,2.0945122882331304e-11,nan
2030-05-01,2030.329911,8.415827187441474e-12,1.3511858618998767e-11,2.0602184527844266e-11,nan
2030-06-01,2030.414784,8.310413223891525e-12,1.3342613393279223e-11,2.034412814425926e-11,nan
2030-07-01,2030.496920,8.190894592496616e-12,1.3150722707577633e-11,2.005154313227283e-11,nan
2030-08-01,2030.581793,8.014425717390012e-12,1.2867396726900136e-11,1.961954230248005e-11,nan
2030-09-01,2030.666667,7.80652569143696e-12,1.2533607107056738e-11,1.9110597120665952e-11,nan
2030-10-01,2030.748802,7.628483872204836e-12,1.2247755718220753e-11,1.867474567887697e-11,nan
2030-11-01,2030.833676,7.50199737138251e-12,1.2044677912764685e-11,1.8365103124178183e-11,nan
2030-12-01,2030.915811,7.41801983662382e-12,1.19098495053415e-11,1.815952372850407e-11,nan
