month_start,calendar_year,density_280_kg_m3,temperature_280_K,f107_sfu,ap_nt
2000-01-01,2000.000000,3.7382503258837566e-11,981.0809894028744,nan,nan
2000-02-01,2000.084873,4.293063953698787e-11,1039.4624693857536,nan,nan
2000-03-01,2000.164271,5.001902322431743e-11,1074.4684974151803,nan,nan
2000-04-01,2000.249144,5.408719922703971e-11,1111.2732423640682,nan,nan
2000-05-01,2000.331280,4.70241039294559e-11,1091.3822864860344,nan,nan
2000-06-01,2000.416153,4.1866322865487466e-11,1123.5725658686565,nan,nan
2000-07-01,2000.498289,4.674087258837099e-11,1158.346240818703,nan,nan
2000-08-01,2000.583162,4.0807153270931265e-11,1047.8006771582648,nan,nan
2000-09-01,2000.668036,4.500503419799845e-11,1036.6088348045039,nan,nan
2000-10-01,2000.750171,4.594903668424158e-11,1021.0563939322428,nan,nan
2000-11-01,2000.835044,5.0139618584944544e-11,1049.7865517511566,nan,nan
2000-12-01,2000.917180,4.289594137676722e-11,1007.3581321649378,nan,nan
2001-01-01,2001.002053,4.0987910274407055e-11,985.4939499652068,nan,nan
2001-02-01,2001.086927,3.8881871713390274e-11,957.2364173003086,nan,nan
2001-03-01,2001.163587,4.427704061365447e-11,1009.3029782681842,nan,nan
2001-04-01,2001.248460,4.89729663264029e-11,1063.5826883009677,nan,nan
2001-05-01,2001.330595,3.999275728897805e-11,1008.0878135228058,nan,nan
2001-06-01,2001.415469,3.69639725693796e-11,1010.3323964576151,nan,nan
2001-07-01,2001.497604,2.937553551492941e-11,945.4280987777742,nan,nan
2001-08-01,2001.582478,3.5270163642961075e-11,1040.8448729214804,nan,nan
2001-09-01,2001.667351,4.3658212469617294e-11,1121.4274237667548,nan,nan
2001-10-01,2001.749487,5.860558440483461e-11,1225.2851430699043,nan,nan
2001-11-01,2001.834360,5.706776497857246e-11,1162.8943798516837,nan,nan
2001-12-01,2001.916496,4.9583933911481465e-11,1153.893158859062,nan,nan
2002-01-01,2002.001369,5.0694481958683495e-11,1166.4405503815726,nan,nan
2002-02-01,2002.086242,5.450080935646692e-11,1121.965755477341,nan,nan
2002-03-01,2002.162902,5.537241340955045e-11,1092.5537521395506,nan,nan
2002-04-01,2002.247775,5.575163178697123e-11,1103.6154039233916,nan,nan
2002-05-01,2002.329911,4.3271037754511736e-11,1031.0035543553226,nan,nan
2002-06-01,2002.414784,3.4767539465819157e-11,1001.7870891236784,nan,nan
2002-07-01,2002.496920,3.003852541397587e-11,1004.6457869665355,nan,nan
2002-08-01,2002.581793,3.30278935162317e-11,1063.341151095454,nan,nan
2002-09-01,2002.666667,4.150538926079398e-11,1063.0861699180332,nan,nan
2002-10-01,2002.748802,4.5226111894662723e-11,1036.2520716676556,nan,nan
2002-11-01,2002.833676,4.6192811984406837e-11,1038.1039751226388,nan,nan
2002-12-01,2002.915811,3.933579202513412e-11,992.3208125469031,nan,nan
2003-01-01,2003.000684,3.431563297841099e-11,943.0415269912652,nan,nan
2003-02-01,2003.085558,2.969103135010833e-11,888.308091195588,nan,nan
2003-03-01,2003.162218,3.46113662886047e-11,926.2597959961531,nan,nan
2003-04-01,2003.247091,3.467018656899833e-11,931.0095793350001,nan,nan
2003-05-01,2003.329227,3.156846759470001e-11,936.3799616157083,nan,nan
2003-06-01,2003.414100,2.8394454657391963e-11,945.370768992042,nan,nan
2003-07-01,2003.496235,2.5249040104265317e-11,930.7238860492786,nan,nan
2003-08-01,2003.581109,2.6492357604540037e-11,917.108204776899,nan,nan
2003-09-01,2003.665982,2.6620838329918587e-11,881.1257755283563,nan,nan
2003-10-01,2003.748118,2.9407225764077723e-11,899.6193887526902,nan,nan
2003-11-01,2003.832991,3.9635376981174415e-11,1015.9632439900255,nan,nan
2003-12-01,2003.915127,2.923965984754657e-11,918.0300161568506,nan,nan
2004-01-01,2004.000000,2.4185209733753615e-11,855.5048115781268,nan,nan
2004-02-01,2004.084873,2.3246130587503763e-11,833.3373899741285,nan,nan
2004-03-01,2004.164271,2.653895961257379e-11,844.7671740646198,nan,nan
2004-04-01,2004.249144,2.7402797511109068e-11,851.9900087847333,nan,nan
2004-05-01,2004.331280,2.0429572379758434e-11,801.5643798866072,nan,nan
2004-06-01,2004.416153,1.6910126684400387e-11,797.6592740678965,nan,nan
2004-07-01,2004.498289,1.997044216133413e-11,874.688975661752,nan,nan
2004-08-01,2004.583162,1.7385940151623967e-11,824.6363202056531,nan,nan
2004-09-01,2004.668036,1.980227370428515e-11,811.2743092980421,nan,nan
2004-10-01,2004.750171,2.2068701693895486e-11,806.2292442120037,nan,nan
2004-11-01,2004.835044,2.6953980820281634e-11,859.2972120513144,nan,nan
2004-12-01,2004.917180,1.7241047329242115e-11,758.9064693653025,nan,nan
2005-01-01,2005.002053,2.374319480778648e-11,843.9599015515015,nan,nan
2005-02-01,2005.086927,1.9376530082993967e-11,782.3953010669402,nan,nan
2005-03-01,2005.163587,1.901839009087558e-11,756.2200194414518,nan,nan
2005-04-01,2005.248460,1.9834862234654263e-11,768.1559456192566,nan,nan
2005-05-01,2005.330595,2.4331065875157872e-11,849.1527423680958,nan,nan
2005-06-01,2005.415469,1.9046755452313628e-11,821.6637346599551,nan,nan
2005-07-01,2005.497604,1.6966638808512156e-11,816.6222342713371,nan,nan
2005-08-01,2005.582478,1.6477287498729356e-11,794.1153244554536,nan,nan
2005-09-01,2005.667351,2.1704714765471356e-11,827.6089276198946,nan,nan
2005-10-01,2005.749487,1.484470821425724e-11,712.1375029451358,nan,nan
2005-11-01,2005.834360,1.733340942519137e-11,746.0898319696151,nan,nan
2005-12-01,2005.916496,1.581306112578477e-11,743.1687676630228,nan,nan
2006-01-01,2006.001369,1.4575749601925827e-11,732.2152342555413,nan,nan
2006-02-01,2006.086242,1.2770720455519357e-11,697.1737285689387,nan,nan
2006-03-01,2006.162902,1.3354103159546113e-11,693.0437365882422,nan,nan
2006-04-01,2006.247775,1.7226455263878002e-11,742.5057680568924,nan,nan
2006-05-01,2006.329911,1.567325658831535e-11,742.7875969438431,nan,nan
2006-06-01,2006.414784,1.260728713324878e-11,729.960544042992,nan,nan
2006-07-01,2006.496920,1.0727829462261696e-11,719.1075875134392,nan,nan
2006-08-01,2006.581793,1.1109012784174062e-11,718.1199084131777,nan,nan
2006-09-01,2006.666667,1.2499484189963619e-11,714.351745574223,nan,nan
2006-10-01,2006.748802,1.3349434541062353e-11,703.1670359285939,nan,nan
2006-11-01,2006.833676,1.4895816476292287e-11,728.0358070675688,nan,nan
2006-12-01,2006.915811,1.4493630440899682e-11,739.1305646723922,nan,nan
2007-01-01,2007.000684,1.2275050785593942e-11,714.5227796237522,nan,nan
2007-02-01,2007.085558,1.2747350817648146e-11,715.1264531048686,nan,nan
2007-03-01,2007.162218,1.1426761938089602e-11,677.2993208639344,nan,nan
2007-04-01,2007.247091,1.3285601168669506e-11,700.8135482347257,nan,nan
2007-05-01,2007.329227,1.2453392984547409e-11,706.7655145412494,nan,nan
2007-06-01,2007.414100,1.0209039477295353e-11,699.0384873094149,nan,nan
2007-07-01,2007.496235,8.54751331571326e-12,684.2020691149486,nan,nan
2007-08-01,2007.581109,9.645415086981074e-12,699.4386931139294,nan,nan
2007-09-01,2007.665982,9.810139953675603e-12,674.2904016467371,nan,nan
2007-10-01,2007.748118,1.14484055708233e-11,678.3078437393544,nan,nan
2007-11-01,2007.832991,1.1839691059680986e-11,688.494970373505,nan,nan
2007-12-01,2007.915127,9.349315188972577e-12,663.4735174389965,nan,nan
2008-01-01,2008.000000,1.0343727468725514e-11,692.9146466451369,nan,nan
2008-02-01,2008.084873,1.0072095425025934e-11,681.1884475246184,nan,nan
2008-03-01,2008.164271,1.1617514911089264e-11,690.4745148557118,nan,nan
2008-04-01,2008.249144,1.2288216828148646e-11,694.227309458697,nan,nan
2008-05-01,2008.331280,1.0258439592625718e-11,676.289470934672,nan,nan
2008-06-01,2008.416153,8.854610881060525e-12,678.2491425212532,nan,nan
2008-07-01,2008.498289,7.1067396124263606e-12,659.4561126225517,nan,nan
2008-08-01,2008.583162,7.174017390548801e-12,652.7642156354274,nan,nan
2008-09-01,2008.668036,8.50930450785399e-12,654.2721047307106,nan,nan
2008-10-01,2008.750171,1.0149866693239753e-11,661.8978381913554,nan,nan
2008-11-01,2008.835044,8.818676373763343e-12,639.3135447684109,nan,nan
2008-12-01,2008.917180,8.679428556143783e-12,651.3574935465355,nan,nan
2009-01-01,2009.002053,7.950411616048886e-12,647.4604745299443,nan,nan
2009-02-01,2009.086927,8.027263334388282e-12,643.9154135671579,nan,nan
2009-03-01,2009.163587,9.965045527785359e-12,665.2255540010368,nan,nan
2009-04-01,2009.248460,9.934697543313774e-12,657.5121335863995,nan,nan
2009-05-01,2009.330595,9.63561082500535e-12,665.3333137541808,nan,nan
2009-06-01,2009.415469,8.262709026868535e-12,666.0376038218755,nan,nan
2009-07-01,2009.497604,6.969991692316457e-12,654.6660586144803,nan,nan
2009-08-01,2009.582478,8.257178412990602e-12,673.5241320253132,nan,nan
2009-09-01,2009.667351,8.872933762952341e-12,659.9487300488021,nan,nan
2009-10-01,2009.749487,1.0505104976618849e-11,666.484536546364,nan,nan
2009-11-01,2009.834360,1.038666470651733e-11,662.2759675995079,nan,nan
2009-12-01,2009.916496,9.7858598343427e-12,665.0036025527598,nan,nan
2010-01-01,2010.001369,8.995261161987585e-12,659.0186951604877,nan,nan
2010-02-01,2010.086242,1.2301611092731208e-11,708.8055841101963,nan,nan
2010-03-01,2010.162902,1.3454827944991713e-11,706.4306956310837,nan,nan
2010-04-01,2010.247775,1.5372731619422622e-11,725.9050552129662,nan,nan
2010-05-01,2010.329911,1.3780621238754764e-11,717.9658951477209,nan,nan
2010-06-01,2010.414784,1.1372420073105683e-11,713.7595571639989,nan,nan
2010-07-01,2010.496920,1.0822871634901654e-11,720.7418264181152,nan,nan
2010-08-01,2010.581793,1.1961260578737056e-11,727.3964794415754,nan,nan
2010-09-01,2010.666667,1.504604607945351e-11,740.4001566858524,nan,nan
2010-10-01,2010.748802,1.4370546202417828e-11,709.6303929219503,nan,nan
2010-11-01,2010.833676,1.555025283566675e-11,728.804482694837,nan,nan
2010-12-01,2010.915811,1.4198233495291357e-11,724.9324851556593,nan,nan
2011-01-01,2011.000684,1.246379478433898e-11,712.4535571465561,nan,nan
2011-02-01,2011.085558,1.5946467090695533e-11,763.5128139624247,nan,nan
2011-03-01,2011.162218,2.2431157749436026e-11,820.2376563631738,nan,nan
2011-04-01,2011.247091,2.6173104791790075e-11,844.6163752564626,nan,nan
2011-05-01,2011.329227,2.1291186911288568e-11,803.4524838379674,nan,nan
2011-06-01,2011.414100,1.871047658866309e-11,810.6010390429838,nan,nan
2011-07-01,2011.496235,1.5803153414013565e-11,792.3202654822898,nan,nan
2011-08-01,2011.581109,1.8231815830561286e-11,816.301286309138,nan,nan
2011-09-01,2011.665982,2.794933851423373e-11,900.3836859156723,nan,nan
2011-10-01,2011.748118,3.061818220504656e-11,895.9316305978555,nan,nan
2011-11-01,2011.832991,3.4866152725300395e-11,927.5964953938297,nan,nan
2011-12-01,2011.915127,3.0138057184004817e-11,897.911016637055,nan,nan
2012-01-01,2012.000000,2.6600790841921538e-11,874.0534626468192,nan,nan
2012-02-01,2012.084873,2.108413539423163e-11,804.992377967138,nan,nan
2012-03-01,2012.164271,2.8054892456046814e-11,859.0158291432386,nan,nan
2012-04-01,2012.249144,2.529468641760591e-11,829.682269056207,nan,nan
2012-05-01,2012.331280,2.622382388195508e-11,866.820095666655,nan,nan
2012-06-01,2012.416153,2.394711268054808e-11,890.8753613299901,nan,nan
2012-07-01,2012.498289,2.496231446563126e-11,934.32842447895,nan,nan
2012-08-01,2012.583162,2.0711327615809647e-11,848.3625004822205,nan,nan
2012-09-01,2012.668036,2.6656079092151206e-11,873.2107767654549,nan,nan
2012-10-01,2012.750171,3.1856363579287043e-11,900.0639339291464,nan,nan
2012-11-01,2012.835044,2.6900229082258167e-11,848.9254879953537,nan,nan
2012-12-01,2012.917180,2.0290161858925563e-11,790.5736118029217,nan,nan
2013-01-01,2013.002053,2.424609241774203e-11,844.8396539068943,nan,nan
2013-02-01,2013.086927,2.0449083969856694e-11,786.1494584420726,nan,nan
2013-03-01,2013.163587,3.0126445043244543e-11,870.507818122061,nan,nan
2013-04-01,2013.248460,2.8515643727612486e-11,854.0102660105007,nan,nan
2013-05-01,2013.330595,3.4488672357052593e-11,940.1224202614466,nan,nan
2013-06-01,2013.415469,2.3842325022152872e-11,858.9304801022842,nan,nan
2013-07-01,2013.497604,2.290314913689333e-11,866.6507141049209,nan,nan
2013-08-01,2013.582478,2.3724632366974063e-11,853.7886839608155,nan,nan
2013-09-01,2013.667351,2.3095088443443795e-11,815.8440104103139,nan,nan
2013-10-01,2013.749487,2.776525177572285e-11,856.0384408390523,nan,nan
2013-11-01,2013.834360,3.154253465175416e-11,903.2448162605169,nan,nan
2013-12-01,2013.916496,2.970107252556081e-11,910.4091391046619,nan,nan
2014-01-01,2014.001369,3.1147485209005806e-11,947.2352440979063,nan,nan
2014-02-01,2014.086242,3.4538789409979246e-11,958.8772204181365,nan,nan
2014-03-01,2014.162902,3.8148253828882335e-11,952.7505117739494,nan,nan
2014-04-01,2014.247775,3.966457532821228e-11,955.3885946717404,nan,nan
2014-05-01,2014.329911,2.974785206524693e-11,894.2441561020054,nan,nan
2014-06-01,2014.414784,2.352463203411536e-11,870.2371384818471,nan,nan
2014-07-01,2014.496920,2.3023720947963164e-11,886.8630354832048,nan,nan
2014-08-01,2014.581793,2.3889016288942167e-11,884.146787713512,nan,nan
2014-09-01,2014.666667,3.036616075400555e-11,925.7882933742154,nan,nan
2014-10-01,2014.748802,3.5468406128059494e-11,954.0121044752062,nan,nan
2014-11-01,2014.833676,3.6504133866957826e-11,968.9283380401074,nan,nan
2014-12-01,2014.915811,3.634115395327253e-11,981.8000396331654,nan,nan
2015-01-01,2015.000684,3.0224633350941746e-11,913.5511540347584,nan,nan
2015-02-01,2015.085558,3.14352394134163e-11,899.9189296292274,nan,nan
2015-03-01,2015.162218,3.57527919333415e-11,920.8463169915045,nan,nan
2015-04-01,2015.247091,3.550415680019468e-11,923.2345751618559,nan,nan
2015-05-01,2015.329227,2.858825043704204e-11,881.4509164367154,nan,nan
2015-06-01,2015.414100,2.4765412769385732e-11,878.5629027803215,nan,nan
2015-07-01,2015.496235,1.918987720008404e-11,828.6778940828518,nan,nan
2015-08-01,2015.581109,1.882947826897805e-11,812.8641685130259,nan,nan
