date,calendar_year,density_280_kg_m3,temperature_280_K,f107_sfu,ap_nt
2000-01-01,2000.000000,3.606914336944138e-11,967.5731941498402,nan,nan
2000-01-06,2000.013689,3.5128724146794657e-11,953.8578266594768,nan,nan
2000-01-11,2000.027379,3.779782254839206e-11,978.7847623085022,nan,nan
2000-01-16,2000.041068,4.448524543155373e-11,1049.080750574182,nan,nan
2000-01-21,2000.054757,4.256703764254982e-11,1038.3403496647015,nan,nan
2000-01-26,2000.068446,3.2382117300547975e-11,935.4352858816821,nan,nan
2000-01-31,2000.082136,3.324743237258335e-11,944.4947565817355,nan,nan
2000-02-05,2000.095825,3.53598660810197e-11,961.2156674036949,nan,nan
2000-02-10,2000.109514,4.896325494785521e-11,1100.4245515439127,nan,nan
2000-02-15,2000.123203,5.033920946524862e-11,1122.3393301378737,nan,nan
2000-02-20,2000.136893,3.461569156209139e-11,953.6289222376171,nan,nan
2000-02-25,2000.150582,4.53751756287244e-11,1059.7038756056697,nan,nan
2000-03-01,2000.164271,4.5137333887770575e-11,1045.6768761354888,nan,nan
2000-03-06,2000.177960,4.896875897941554e-11,1074.6663283239207,nan,nan
2000-03-11,2000.191650,5.1496862648526785e-11,1087.864052090575,nan,nan
2000-03-16,2000.205339,4.43818776987404e-11,1016.2545454470414,nan,nan
2000-03-21,2000.219028,4.549929322908014e-11,1025.99526130257,nan,nan
2000-03-26,2000.232717,5.658471733214338e-11,1130.1133000800146,nan,nan
2000-03-31,2000.246407,5.806431879454515e-11,1140.709118526652,nan,nan
2000-04-05,2000.260096,6.207222189142455e-11,1179.0674092835154,nan,nan
2000-04-10,2000.273785,5.779972651933912e-11,1139.2401396738928,nan,nan
2000-04-15,2000.287474,4.9371454742008926e-11,1062.6999147543506,nan,nan
2000-04-20,2000.301164,5.22498653412841e-11,1093.1679734047343,nan,nan
2000-04-25,2000.314853,5.295754546896401e-11,1106.4942005017533,nan,nan
2000-04-30,2000.328542,5.007238139921761e-11,1086.9698165661625,nan,nan
2000-05-05,2000.342231,4.166627967266733e-11,1006.6837078069714,nan,nan
2000-05-10,2000.355921,4.2908870598872654e-11,1027.5809099866233,nan,nan
2000-05-15,2000.369610,4.7125950806493935e-11,1080.5883486256557,nan,nan
2000-05-20,2000.383299,5.2004275433461505e-11,1147.355990358287,nan,nan
2000-05-25,2000.396988,5.429986320634002e-11,1191.1089732966052,nan,nan
2000-05-30,2000.410678,4.413938385889997e-11,1094.9757888420634,nan,nan
2000-06-04,2000.424367,3.570371940041495e-11,1019.3630176546651,nan,nan
2000-06-09,2000.438056,5.183045398700835e-11,1223.8872285232155,nan,nan
2000-06-14,2000.451745,4.1312532969730165e-11,1116.8220534170032,nan,nan
2000-06-19,2000.465435,4.296442762135139e-11,1160.6971998052118,nan,nan
2000-06-24,2000.479124,4.326341691293145e-11,1165.8396376415903,nan,nan
2000-06-29,2000.492813,3.612338630148849e-11,1054.826258170253,nan,nan
2000-07-04,2000.506502,3.452044894854244e-11,1023.8078398438877,nan,nan
2000-07-09,2000.520192,3.94163125530454e-11,1081.0701236677785,nan,nan
2000-07-14,2000.533881,5.225067198111343e-11,1234.546577744092,nan,nan
2000-07-19,2000.547570,5.1114484906104424e-11,1206.0054685318246,nan,nan
2000-07-24,2000.561259,5.5231325012001404e-11,1252.6206328037174,nan,nan
2000-07-29,2000.574949,4.7911992129418855e-11,1152.0268023209173,nan,nan
2000-08-03,2000.588638,3.852459191030684e-11,1032.1421821596555,nan,nan
2000-08-08,2000.602327,3.871354488233907e-11,1023.7553507147286,nan,nan
2000-08-13,2000.616016,5.366121495651479e-11,1192.3263499205225,nan,nan
2000-08-18,2000.629706,4.356145044134359e-11,1086.879446718126,nan,nan
2000-08-23,2000.643395,3.647345560057142e-11,995.3601513156821,nan,nan
2000-08-28,2000.657084,3.390866183451186e-11,956.3405821208745,nan,nan
2000-09-02,2000.670773,4.158320220953823e-11,1020.8053858683805,nan,nan
2000-09-07,2000.684463,5.064123486295544e-11,1101.9591704362958,nan,nan
2000-09-12,2000.698152,4.237001939020369e-11,1013.0542028179005,nan,nan
2000-09-17,2000.711841,4.4119081070324373e-11,1023.2178265918294,nan,nan
2000-09-22,2000.725530,4.101758928876824e-11,987.9520415741638,nan,nan
2000-09-27,2000.739220,5.0299078366200704e-11,1072.6643815384537,nan,nan
2000-10-02,2000.752909,5.13002149750314e-11,1078.5682212585914,nan,nan
2000-10-07,2000.766598,4.571697356424625e-11,1022.2166741865885,nan,nan
2000-10-12,2000.780287,4.036211424384597e-11,967.8194320178127,nan,nan
2000-10-17,2000.793977,4.788070164245895e-11,1037.2051786479192,nan,nan
2000-10-22,2000.807666,4.396668386961116e-11,998.8133382652182,nan,nan
2000-10-27,2000.821355,4.646753181025577e-11,1021.7155192173254,nan,nan
2000-11-01,2000.835044,5.7833622323252677e-11,1122.3128626840378,nan,nan
2000-11-06,2000.848734,5.616903345411683e-11,1100.677857282907,nan,nan
2000-11-11,2000.862423,5.5730813192878455e-11,1096.5931838738168,nan,nan
2000-11-16,2000.876112,3.4704756036305344e-11,904.8543228239474,nan,nan
2000-11-21,2000.889802,4.697813957570766e-11,1022.9980169998855,nan,nan
2000-11-26,2000.903491,4.942134692740634e-11,1051.2830668423449,nan,nan
2000-12-01,2000.917180,4.912901653392318e-11,1055.7516352246635,nan,nan
2000-12-06,2000.930869,4.069510530754554e-11,982.5226695940946,nan,nan
2000-12-11,2000.944559,3.510907496545466e-11,931.9954728448886,nan,nan
2000-12-16,2000.958248,3.775442674296193e-11,958.553147942774,nan,nan
2000-12-21,2000.971937,4.647520340647345e-11,1046.5355925178515,nan,nan
2000-12-26,2000.985626,4.925841981006684e-11,1075.0160556184944,nan,nan
2000-12-31,2000.999316,4.185034287094494e-11,1001.1323514117971,nan,nan
2001-01-05,2001.013005,4.2283459413503363e-11,1001.9697838796864,nan,nan
2001-01-10,2001.026694,3.9412228664269384e-11,973.1406187329944,nan,nan
2001-01-15,2001.040383,3.830119065898231e-11,962.7530377339351,nan,nan
2001-01-20,2001.054073,3.763862763858624e-11,953.8872860898671,nan,nan
2001-01-25,2001.067762,4.842405402882916e-11,1052.0311119320559,nan,nan
2001-01-30,2001.081451,3.986790124227188e-11,969.1818614227011,nan,nan
2001-02-04,2001.095140,3.870022368550438e-11,955.6827547769818,nan,nan
2001-02-09,2001.108830,4.0126012979370374e-11,966.1930956042816,nan,nan
2001-02-14,2001.122519,4.452835942747776e-11,1007.9186366516183,nan,nan
2001-02-19,2001.136208,3.2951361528651275e-11,902.0984276992299,nan,nan
2001-02-24,2001.149897,3.810340094594758e-11,954.289171769432,nan,nan
2001-03-01,2001.163587,4.018860084281711e-11,970.8123417575853,nan,nan
2001-03-06,2001.177276,3.8143514455121956e-11,950.504255916693,nan,nan
2001-03-11,2001.190965,3.9109920394759585e-11,956.3489222278812,nan,nan
2001-03-16,2001.204654,3.645535028875879e-11,934.7103131771971,nan,nan
2001-03-21,2001.218344,5.059421719668684e-11,1070.3954445194872,nan,nan
2001-03-26,2001.232033,4.437233048748771e-11,1012.3978153194896,nan,nan
